MemberID,Sex,YearJoined,year,Status,Age,fitness,racquets,dock,city_dining,island_dining,bar_spending,other_spending
278,M,1988,2017,ACTIVE,57,N,N,Y,6,507,516,513
278,M,1988,2020,ACTIVE,60,N,N,NA,NA,NA,NA,NA
3934,M,1984,2017,ACTIVE,76,N,N,Y,929,351,626,1279
3934,M,1984,2020,ACTIVE,79,N,N,NA,NA,NA,NA,NA
4136,M,1980,2017,HOLDOVER,53,N,N,N,NA,NA,NA,NA
4136,M,1980,2020,ACTIVE,56,N,N,NA,NA,NA,NA,NA
430,F,2006,2017,ACTIVE,30,N,N,N,72,0,0,72
430,F,2006,2020,ACTIVE,33,Y,N,NA,NA,NA,NA,NA
2550,F,2018,2017,ACTIVE,31,N,N,N,0,220,365,220
2550,F,2018,2020,ACTIVE,34,N,N,NA,NA,NA,NA,NA
1442,M,1971,2017,ACTIVE,55,Y,Y,N,29,252,222,281
1442,M,1971,2020,ACTIVE,58,Y,N,NA,NA,NA,NA,NA
4174,M,1997,2017,ACTIVE,58,Y,N,Y,10,83,111,93
4174,M,1997,2020,ACTIVE,61,Y,N,NA,NA,NA,NA,NA
76,M,2015,2017,ACTIVE,30,N,N,Y,0,594,1478,593
76,M,2015,2020,ACTIVE,33,N,N,NA,NA,NA,NA,NA
1682,M,1973,2017,ACTIVE,56,N,N,N,73,30,471,103
1682,M,1973,2020,ACTIVE,59,N,N,NA,NA,NA,NA,NA
3779,F,1975,2017,ACTIVE,78,Y,N,N,382,113,0,494
3779,F,1975,2020,ACTIVE,81,Y,N,NA,NA,NA,NA,NA
4289,M,1990,2017,ACTIVE,79,Y,Y,N,241,310,225,552
4289,M,1990,2020,ACTIVE,82,Y,Y,NA,NA,NA,NA,NA
985,M,2015,2017,ACTIVE,56,N,N,N,140,1294,797,1435
985,M,2015,2020,ACTIVE,59,N,N,NA,NA,NA,NA,NA
3144,M,2002,2017,HOLDOVER,37,N,N,N,NA,NA,NA,NA
3144,M,2002,2020,ACTIVE,40,N,N,NA,NA,NA,NA,NA
1784,M,1997,2017,ACTIVE,56,Y,Y,N,652,9,218,662
1784,M,1997,2020,ACTIVE,59,Y,Y,NA,NA,NA,NA,NA
3932,M,2001,2017,ACTIVE,36,Y,N,N,5,249,158,255
3932,M,2001,2020,HOLDOVER,39,N,N,NA,NA,NA,NA,NA
3888,M,1992,2017,HOLDOVER,50,N,N,N,NA,NA,NA,NA
3888,M,1992,2020,ACTIVE,53,N,N,NA,NA,NA,NA,NA
1464,M,1972,2017,ACTIVE,68,N,N,Y,0,418,278,418
1464,M,1972,2020,ACTIVE,71,N,N,NA,NA,NA,NA,NA
584,M,1991,2017,ACTIVE,45,N,N,N,0,119,0,119
584,M,1991,2020,HOLDOVER,48,N,N,NA,NA,NA,NA,NA
4290,M,1977,2017,ACTIVE,71,N,N,N,12,20,9,32
4290,M,1977,2020,ACTIVE,74,N,N,NA,NA,NA,NA,NA
1406,M,1992,2017,ACTIVE,73,N,N,N,52,554,140,607
1406,M,1992,2020,ACTIVE,76,N,N,NA,NA,NA,NA,NA
828,M,2003,2017,HOLDOVER,52,N,N,N,NA,NA,NA,NA
828,M,2003,2020,HOLDOVER,55,N,N,NA,NA,NA,NA,NA
3100,M,1988,2017,ACTIVE,47,Y,Y,N,187,0,109,187
3100,M,1988,2020,ACTIVE,50,Y,Y,NA,NA,NA,NA,NA
1832,F,2011,2017,HOLDOVER,31,N,N,N,NA,NA,NA,NA
1832,F,2011,2020,ACTIVE,34,N,N,NA,NA,NA,NA,NA
